Model,Holdout_R2,Holdout_MSE,Holdout_MAE,CV5_R2_mean,CV5_R2_std
LinearRegression,0.9743135775174249,4.780723729566694e-05,0.005737230408770853,0.9737467145246186,0.0025883423877363265
SVR(RBF),0.999197671695589,1.4932830628331547e-06,0.000997096401441338,0.9979440602722047,0.001649311134194865
RandomForest,1.0,1.972493313146848e-31,3.4441489012622856e-16,1.0,0.0
