Model,Holdout_R2,Holdout_MSE,Holdout_MAE,CV5_R2_mean,CV5_R2_std
LinearRegression,0.9824648078800858,3.263627277292228e-05,0.004742854256698876,0.9820792935686798,0.0019459467763956893
SVR(RBF),0.9987247174339808,2.3735394173346703e-06,0.0010551703453370355,0.9988146704572852,0.00038385297550668244
RandomForest,1.0,1.969484047608743e-31,3.4383664896756966e-16,1.0,0.0
